,"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
0,1,Quito,2016-09-17,2016-09-17,0.632054633906495,0.5289474751080799,-78.5494469183617,-0.36136260289922206,N,2025,24228,346
1,2,Guadalajara Easy Taxi,2016-09-17,2016-09-17,0.327804230328055,0.391949867733989,-103.36659966,20.68697134,N,389,2962,3675
2,3,Monterrey,2016-09-17,2016-09-17,0.140909735466988,0.563279525176679,-100.16573726771799,25.619387370531,N,168,951,0
3,4,Monterrey,2016-09-17,2016-09-17,0.20756472954865698,0.590416254274665,-100.49172063543301,25.676294314197,N,1659,11082,358
4,5,Monterrey,2016-09-17,2016-09-17,0.128881293812628,0.580418527061714,-100.104166,25.64386166,N,272,2021,3614
5,6,Monterrey,2016-09-17,2016-09-17,0.141188213205065,0.5642676241535061,-100.186171270371,25.643129393024,N,22,2502,517
6,7,Monterrey,2016-09-17,2016-09-17,0.1579867090181,0.631889110598001,-100.2576123,25.72749166,N,6175,3579,346
7,8,Manta,2016-09-17,2016-09-17,0.7976770228396111,0.0616423829046376,-80.70252338,-0.9681675400000129,N,2412,19933,114
8,9,Monterrey,2016-09-17,2016-09-17,0.22359965737019,0.6267959701989799,-100.49566598,25.68718998,N,2698,4770,292
9,10,Guadalajara Easy Taxi,2016-09-17,2016-09-17,0.327516769437136,0.39019819373417103,-103.35945068,20.66955834,N,401,2733,71
10,11,Monterrey,2016-09-17,2016-09-17,0.12902502425808698,0.579780755899872,-100.08192932,25.643473,N,512,4251,3689
11,12,Monterrey,2016-09-17,2016-09-17,0.215667533411415,0.616358160862228,-100.41319886,25.68681838,N,566,3989,99
12,13,Monterrey,2016-09-17,2016-09-17,0.13811597493337602,0.6353743607649,-100.09477339430201,25.701189800569,N,1546,15200,111
13,14,Monterrey,2016-09-17,2016-09-17,0.22373440466280803,0.626167187089369,-100.45244699999999,25.703845,N,1252,10374,186
14,15,Aguascalientes,2016-09-17,2016-09-17,0.26743744323522306,0.479703740456072,-102.2684175,21.92395594,N,758,4803,33
15,16,Monterrey,2016-09-17,2016-09-17,0.218658923307533,0.6281164144833521,-100.45557666,25.697666,N,479,1259,230
16,17,Monterrey,2016-09-17,2016-09-17,0.14532944666485598,0.574121656537349,-100.12583642961901,25.6686698947485,N,1245,10338,297
17,18,Monterrey,2016-09-17,2016-09-17,0.13702901343959198,0.604375314959565,-100.29548297695601,25.6944607319377,N,355,16432,2434
18,19,Guadalajara,2016-09-17,2016-09-17,0.33809892348406395,0.40318752137908703,-103.404412960752,20.6707680875893,N,2358,25801,280
19,20,Monterrey,2016-09-17,2016-09-17,0.211104091768088,0.620337465820638,-100.41466663026699,25.662952661206102,N,1063,7065,2531
20,21,Monterrey,2016-09-17,2016-09-17,0.221003526199085,0.6255204386693729,-100.45896,25.69870966,N,798,948,39
21,22,Monterrey,2016-09-17,2016-09-18,0.17999543347902802,0.615397019037495,-100.26932972163999,25.676992390243395,N,635,6224,167
22,23,Cali,2016-09-17,2016-09-18,0.4172674494735179,0.72191197631924,-76.52784604,3.4165688999999997,N,8783,16041,3763
23,24,Monterrey,2016-09-17,2016-09-18,0.217185686241577,0.6122800438924261,-100.41716832,25.67875768,N,1679,7701,259
